branch,current_method,comparator,metric,difference,ci_low,ci_high,bootstrap_resamples
xgboost,regret_constrained_medoid,random_bank_rep_02,macro_ovr_auroc,0.019615244802281273,0.005699619204304571,0.03329090886494176,2000
xgboost,regret_constrained_medoid,random_bank_rep_02,macro_auprc,0.031989149316981824,0.00984867133127638,0.054800744308979535,2000
xgboost,regret_constrained_medoid,random_bank_rep_02,balanced_accuracy,0.048450711740850805,0.022182186229278568,0.07591328446100878,2000
xgboost,regret_constrained_medoid,random_bank_rep_02,accuracy,0.05193482688391038,0.027494908350305436,0.07841140529531565,2000
xgboost,regret_constrained_medoid,random_bank_rep_02,macro_f1,0.04836004163272667,0.020870003005777994,0.07745646547457861,2000
xgboost,regret_constrained_medoid,random_bank_rep_03,macro_ovr_auroc,0.011119508694391822,-0.002564298750467256,0.02537224388674965,2000
xgboost,regret_constrained_medoid,random_bank_rep_03,macro_auprc,0.014965070779307865,-0.008213096972594291,0.039115275121894916,2000
xgboost,regret_constrained_medoid,random_bank_rep_03,balanced_accuracy,0.004620500654002546,-0.02073795910158115,0.029366252031786264,2000
xgboost,regret_constrained_medoid,random_bank_rep_03,accuracy,0.011201629327902252,-0.014282077393075463,0.03665987780040725,2000
xgboost,regret_constrained_medoid,random_bank_rep_03,macro_f1,0.0012734018876852105,-0.02600898156248042,0.028320533528699836,2000
xgboost,regret_constrained_medoid,random_bank_rep_04,macro_ovr_auroc,0.008225415297714811,-0.0048871235924068225,0.021233670167991058,2000
xgboost,regret_constrained_medoid,random_bank_rep_04,macro_auprc,0.019562014728643162,-0.0019924557535486278,0.042794417931836026,2000
xgboost,regret_constrained_medoid,random_bank_rep_04,balanced_accuracy,0.03103419968148169,0.007982716819632196,0.05586921111968527,2000
xgboost,regret_constrained_medoid,random_bank_rep_04,accuracy,0.03971486761710796,0.01527494908350302,0.06619144602851312,2000
xgboost,regret_constrained_medoid,random_bank_rep_04,macro_f1,0.02708513835550308,0.0025271482338280167,0.051945717226446704,2000
xgboost,regret_constrained_medoid,random_bank_rep_05,macro_ovr_auroc,0.0015064159200549598,-0.011397163030522104,0.014770176545850746,2000
xgboost,regret_constrained_medoid,random_bank_rep_05,macro_auprc,-7.361534887873056e-05,-0.0201454092767937,0.021933911585791936,2000
xgboost,regret_constrained_medoid,random_bank_rep_05,balanced_accuracy,0.002578931814077201,-0.019774256243124833,0.024843265141937725,2000
xgboost,regret_constrained_medoid,random_bank_rep_05,accuracy,0.011201629327902252,-0.011201629327902252,0.03462321792260692,2000
xgboost,regret_constrained_medoid,random_bank_rep_05,macro_f1,-0.0017508622757484993,-0.02605872007114119,0.02201222441775261,2000
boruta_rf,regret_constrained_medoid,direct,macro_ovr_auroc,-0.01557810985464858,-0.024851043709598265,-0.006170737716826949,2000
boruta_rf,regret_constrained_medoid,direct,macro_auprc,-0.01785221204379106,-0.031685247194832594,-0.004048742620626275,2000
boruta_rf,regret_constrained_medoid,direct,balanced_accuracy,-0.010254431619791893,-0.028806486391821533,0.00779953111574485,2000
boruta_rf,regret_constrained_medoid,direct,accuracy,-0.014256619144602856,-0.03462321792260692,0.005091649694500933,2000
boruta_rf,regret_constrained_medoid,direct,macro_f1,-0.007625960051861336,-0.029050007227273418,0.012715046390009154,2000
boruta_rf,regret_constrained_medoid,rfecv_only,macro_ovr_auroc,0.005358313274928972,-0.012542033025199758,0.02250966484425207,2000
boruta_rf,regret_constrained_medoid,rfecv_only,macro_auprc,0.01123667877105372,-0.01516995935416705,0.03647651401602722,2000
boruta_rf,regret_constrained_medoid,rfecv_only,balanced_accuracy,-0.015223345975558411,-0.04304711486364441,0.00871928035091743,2000
boruta_rf,regret_constrained_medoid,rfecv_only,accuracy,-0.01731160896130346,-0.0478615071283095,0.009164969450101812,2000
