outer_repeat,outer_fold,branch,method,n_features,macro_ovr_auroc,macro_auprc,balanced_accuracy,accuracy,macro_f1
2,2,boruta_rf,stability_native,26,0.8233516547951533,0.6790974865209971,0.656060606060606,0.6326530612244898,0.6509615384615385
2,2,boruta_rf,stability_matched,17,0.8278100575894694,0.690667382438083,0.6325757575757575,0.6122448979591837,0.6196524064171123
2,2,boruta_rf,random_bank_rep_01,17,0.8185996214827485,0.6658196313312132,0.6136363636363635,0.5918367346938775,0.6005231826127349
2,2,boruta_rf,random_bank_rep_02,17,0.8088393159987588,0.6602583684222403,0.5818181818181818,0.5510204081632653,0.5682647792022792
2,2,boruta_rf,random_bank_rep_03,17,0.8157430160139139,0.6601469555935147,0.6,0.5714285714285714,0.5940624259654109
2,2,boruta_rf,random_bank_rep_04,17,0.8511622536390338,0.7038663639943925,0.6249999999999999,0.6020408163265306,0.6165501165501165
2,2,boruta_rf,random_bank_rep_05,17,0.814597541261628,0.6441380688833392,0.6257575757575757,0.6020408163265306,0.6154208713517433
2,3,svm_l1,elastic_net_native,78,0.8387514253032828,0.6895875213730732,0.693939393939394,0.673469387755102,0.6902108888754607
2,3,svm_l1,elastic_net_matched,16,0.8064499032958785,0.6423550935670789,0.6530303030303031,0.6326530612244898,0.6402088107970461
2,3,svm_l1,stability_native,61,0.8265325618653792,0.6788465066772397,0.6712121212121211,0.6530612244897959,0.6636779248719546
2,3,svm_l1,stability_matched,16,0.7897889198005297,0.6374221277726846,0.6196969696969696,0.5816326530612245,0.6181318681318682
2,3,svm_l1,random_bank_rep_01,16,0.8162456609438034,0.6806900929247197,0.668939393939394,0.6428571428571429,0.6664242620124973
2,3,svm_l1,random_bank_rep_02,16,0.8075785540568823,0.6517643042698303,0.6431818181818181,0.6122448979591837,0.6270353302611367
2,3,svm_l1,random_bank_rep_03,16,0.8346173692148924,0.6729104790017654,0.678030303030303,0.6530612244897959,0.675334636342099
2,3,svm_l1,random_bank_rep_04,16,0.798529096032966,0.6261453226191293,0.6151515151515151,0.5816326530612245,0.6107378089310532
2,3,svm_l1,random_bank_rep_05,16,0.8004507296109462,0.6434617609001476,0.6318181818181817,0.6020408163265306,0.6295181782986661
2,3,xgboost,elastic_net_native,88,0.8274843126429814,0.6763627764144233,0.6992424242424242,0.6836734693877551,0.6913990969522138
2,3,xgboost,elastic_net_matched,20,0.8276188594687047,0.6630027603538771,0.678030303030303,0.6530612244897959,0.6772299218194741
2,3,xgboost,stability_native,50,0.829859359551697,0.6658068397059168,0.6568181818181819,0.6428571428571429,0.6413549168313045
2,3,xgboost,stability_matched,20,0.8190236492094077,0.6574686898910225,0.6871212121212122,0.6632653061224489,0.6847485768500948
2,3,xgboost,random_bank_rep_01,20,0.807918867767939,0.6483202221234712,0.5865384615384615,0.5714285714285714,0.5643456799474826
2,3,xgboost,random_bank_rep_02,20,0.8194274250001805,0.6578604067684309,0.6666666666666665,0.6428571428571429,0.6640151515151514
2,3,xgboost,random_bank_rep_03,20,0.8307654870928866,0.6858384175421339,0.7250000000000001,0.7040816326530612,0.7249078494168832
2,3,xgboost,random_bank_rep_04,20,0.8407218168828076,0.688022462789725,0.6757575757575758,0.6530612244897959,0.669819928696598
2,3,xgboost,random_bank_rep_05,20,0.8226984058253408,0.6783040220144005,0.6840909090909091,0.6632653061224489,0.6771302020266395
2,3,boruta_rf,elastic_net_native,65,0.8435410306927336,0.7026402535041808,0.7166666666666667,0.6938775510204082,0.7157338308457711
