center,branch,cap,run_id,seed,rfecv_target,run_best_feature_count,run_best_absolute_target_deviation,base_development_cv_balanced_accuracy,raw_untruncated_objective,diagnostic_legacy_truncated_run_best_fitness,diagnostic_zero_legacy_run_best,diagnostic_all_zero_legacy_fitness_generations,actual_uniform_sampling_fallback_generations,mean_population_unique_masks,minimum_population_unique_masks,final_population_unique_masks,stable_feature_set_identifier,runtime_seconds,history_generations,python_version,numpy_version,pandas_version,scikit_learn_version,backend,objective_mode,held_out_inputs_used
mayo,xgboost,low,2,43,10,19,9,0.6305145046524357,0.49551450465243574,0.49551450465243574,False,4,0,49.98,49,50,85967636c2fdc6f438368534c7ec35e99d4138ea5267ec015d09b08188f5ba84,1526.8804349499987,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,xgboost,low,3,44,10,22,12,0.6997099069512862,0.5197099069512863,0.5197099069512863,False,4,0,50.0,50,50,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,1524.0680471430023,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,xgboost,low,4,45,10,20,10,0.6494088669950739,0.4994088669950739,0.4994088669950739,False,5,0,50.0,50,50,d1e4f13e97fb81b2d3f3796cf319c32e3c7dd649d6b015f50d058a8cb3918845,1508.5010478240001,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,xgboost,low,5,46,10,24,14,0.6858237547892719,0.47582375478927197,0.47582375478927197,False,4,0,50.0,50,50,1f52e1444adff0a339075b05acd65e9e2477d0b9fc4e0485052291702c9fe465,1506.6921436859993,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,xgboost,reference,1,42,20,21,1,0.6625779967159278,0.6475779967159278,0.6475779967159278,False,2,0,50.0,50,50,7d03c00ca3abecb05f118488427e11584b482d136e1047f2b0a8f2816143b616,1517.8682188130006,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,xgboost,reference,2,43,20,20,0,0.6506622879036672,0.6506622879036672,0.6506622879036672,False,1,0,49.98,49,50,e04dfebd012123e791406e5a3c5e589012ae221daa4f45d8b4b5a86fd54552d6,1581.918195021001,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,xgboost,reference,3,44,20,22,2,0.6997099069512862,0.6697099069512862,0.6697099069512862,False,2,0,50.0,50,50,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,1696.0674717810002,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,xgboost,reference,4,45,20,20,0,0.6494088669950739,0.6494088669950739,0.6494088669950739,False,2,0,50.0,50,50,d1e4f13e97fb81b2d3f3796cf319c32e3c7dd649d6b015f50d058a8cb3918845,1708.876541695,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,xgboost,reference,5,46,20,24,4,0.6858237547892719,0.625823754789272,0.625823754789272,False,2,0,50.0,50,50,1f52e1444adff0a339075b05acd65e9e2477d0b9fc4e0485052291702c9fe465,1685.5700667250003,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mount_sinai,boruta_rf,low,1,42,13,22,9,0.692025051304135,0.557025051304135,0.557025051304135,False,6,0,50.0,50,50,7bb927174cd39fce848680a4c3ac8da2c22263bd5f816e8e6ea0115a8ed3dc93,1539.8690488409998,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mount_sinai,boruta_rf,low,2,43,13,24,11,0.6908744006922577,0.5258744006922578,0.5258744006922578,False,7,0,50.0,50,50,c2571399d7d1ba01f37eb26efdb1858e8015200a8f081c44977af6f1acabe132,1546.6484129730002,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mount_sinai,boruta_rf,low,3,44,13,24,11,0.7029614524044968,0.5379614524044969,0.5379614524044969,False,5,0,50.0,50,50,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,1534.091200422,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mount_sinai,boruta_rf,low,4,45,13,27,14,0.7049606250572789,0.4949606250572789,0.4949606250572789,False,5,0,50.0,50,50,fb12c08e0fd75cb8cbddce95b0424294f1c8e7ae7177669968db7ec1f1d4fe41,1523.8170103310003,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mount_sinai,boruta_rf,low,5,46,13,25,12,0.6940463203048931,0.5140463203048931,0.5140463203048931,False,6,0,50.0,50,50,671553fed907e6c129090a54ab37beac23f09f105f1eddb97e53c71e150516dc,1515.7622768389992,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mount_sinai,boruta_rf,reference,1,42,22,22,0,0.692025051304135,0.692025051304135,0.692025051304135,False,3,0,50.0,50,50,7bb927174cd39fce848680a4c3ac8da2c22263bd5f816e8e6ea0115a8ed3dc93,1509.5852380470005,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mount_sinai,boruta_rf,reference,2,43,22,24,2,0.6908744006922577,0.6608744006922577,0.6608744006922577,False,3,0,50.0,50,50,c2571399d7d1ba01f37eb26efdb1858e8015200a8f081c44977af6f1acabe132,1533.4515480169994,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
