center,branch,cap,run_i,run_j,stable_mask_hash_i,stable_mask_hash_j,jaccard
mayo,boruta_rf,reference,5,1,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,9bb54b87bd363d9eb8b92bd9c5998bc25ee586118ca608302cc1ac6ff60d0732,0.2
mayo,boruta_rf,reference,5,5,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,1.0
mayo,boruta_rf,reference,5,3,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,fe6a131eae125e664c2599f142b6670178e04e02c31ac9f6128d1c74cc72ba3c,0.3611111111111111
mayo,boruta_rf,reference,3,4,fe6a131eae125e664c2599f142b6670178e04e02c31ac9f6128d1c74cc72ba3c,28c9b7e4d7fb401d6f3a84ae4a2b151abbb91c8ee06e0adbc3d9b4d35af8c6c8,0.16666666666666666
mayo,boruta_rf,reference,3,2,fe6a131eae125e664c2599f142b6670178e04e02c31ac9f6128d1c74cc72ba3c,4cf2ba852ad1876990a620425a93416298ba273757d97c30d04e48b7315cda08,0.06521739130434782
mayo,boruta_rf,reference,3,1,fe6a131eae125e664c2599f142b6670178e04e02c31ac9f6128d1c74cc72ba3c,9bb54b87bd363d9eb8b92bd9c5998bc25ee586118ca608302cc1ac6ff60d0732,0.11363636363636363
mayo,boruta_rf,reference,3,5,fe6a131eae125e664c2599f142b6670178e04e02c31ac9f6128d1c74cc72ba3c,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,0.3611111111111111
mayo,boruta_rf,reference,3,3,fe6a131eae125e664c2599f142b6670178e04e02c31ac9f6128d1c74cc72ba3c,fe6a131eae125e664c2599f142b6670178e04e02c31ac9f6128d1c74cc72ba3c,1.0
mayo,svm_l1,low,5,5,a106f8305145deea538ff5aa4bd9123d392f2fd778a2c06f716522ed0136f744,a106f8305145deea538ff5aa4bd9123d392f2fd778a2c06f716522ed0136f744,1.0
mayo,svm_l1,low,5,1,a106f8305145deea538ff5aa4bd9123d392f2fd778a2c06f716522ed0136f744,c9adc0fe1244bf19401fc4b9862050292752557a8e07a5d8f66faef536de6f68,0.12244897959183673
mayo,svm_l1,low,5,3,a106f8305145deea538ff5aa4bd9123d392f2fd778a2c06f716522ed0136f744,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,0.16666666666666666
mayo,svm_l1,low,1,5,c9adc0fe1244bf19401fc4b9862050292752557a8e07a5d8f66faef536de6f68,a106f8305145deea538ff5aa4bd9123d392f2fd778a2c06f716522ed0136f744,0.12244897959183673
mayo,svm_l1,low,1,1,c9adc0fe1244bf19401fc4b9862050292752557a8e07a5d8f66faef536de6f68,c9adc0fe1244bf19401fc4b9862050292752557a8e07a5d8f66faef536de6f68,1.0
mayo,svm_l1,low,1,3,c9adc0fe1244bf19401fc4b9862050292752557a8e07a5d8f66faef536de6f68,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,0.1702127659574468
mayo,svm_l1,low,3,5,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,a106f8305145deea538ff5aa4bd9123d392f2fd778a2c06f716522ed0136f744,0.16666666666666666
mayo,svm_l1,low,3,1,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,c9adc0fe1244bf19401fc4b9862050292752557a8e07a5d8f66faef536de6f68,0.1702127659574468
mayo,svm_l1,low,3,3,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,1.0
mayo,svm_l1,reference,5,5,a106f8305145deea538ff5aa4bd9123d392f2fd778a2c06f716522ed0136f744,a106f8305145deea538ff5aa4bd9123d392f2fd778a2c06f716522ed0136f744,1.0
mayo,svm_l1,reference,5,1,a106f8305145deea538ff5aa4bd9123d392f2fd778a2c06f716522ed0136f744,c9adc0fe1244bf19401fc4b9862050292752557a8e07a5d8f66faef536de6f68,0.12244897959183673
mayo,svm_l1,reference,5,3,a106f8305145deea538ff5aa4bd9123d392f2fd778a2c06f716522ed0136f744,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,0.16666666666666666
mayo,svm_l1,reference,1,5,c9adc0fe1244bf19401fc4b9862050292752557a8e07a5d8f66faef536de6f68,a106f8305145deea538ff5aa4bd9123d392f2fd778a2c06f716522ed0136f744,0.12244897959183673
mayo,svm_l1,reference,1,1,c9adc0fe1244bf19401fc4b9862050292752557a8e07a5d8f66faef536de6f68,c9adc0fe1244bf19401fc4b9862050292752557a8e07a5d8f66faef536de6f68,1.0
mayo,svm_l1,reference,1,3,c9adc0fe1244bf19401fc4b9862050292752557a8e07a5d8f66faef536de6f68,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,0.1702127659574468
mayo,svm_l1,reference,3,5,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,a106f8305145deea538ff5aa4bd9123d392f2fd778a2c06f716522ed0136f744,0.16666666666666666
mayo,svm_l1,reference,3,1,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,c9adc0fe1244bf19401fc4b9862050292752557a8e07a5d8f66faef536de6f68,0.1702127659574468
mayo,svm_l1,reference,3,3,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,1.0
