outer_repeat,outer_fold,branch,method,n_features,model_seed,macro_ovr_auroc,macro_auprc,balanced_accuracy,accuracy,macro_f1
2,2,xgboost,unrestricted_medoid,20,52210,0.7909158565892312,0.6234971682233953,0.6029137529137529,0.6122448979591837,0.5964446400625978
2,2,xgboost,regret_constrained_medoid,20,52210,0.7909158565892312,0.6234971682233953,0.6029137529137529,0.6122448979591837,0.5964446400625978
2,2,boruta_rf,direct,100,52220,0.8372355070110489,0.6921077600488618,0.6136363636363635,0.5918367346938775,0.5990790255496138
2,2,boruta_rf,rfecv_only,10,52220,0.821475892528524,0.6819133557650546,0.6348484848484849,0.6224489795918368,0.6043277900220396
2,2,boruta_rf,highest_locking_score,17,52220,0.8264851569998628,0.6795933512094838,0.6022727272727272,0.5816326530612245,0.5791966984422228
2,2,boruta_rf,legacy_top3_medoid,22,52220,0.818098013957147,0.6697446700617413,0.6265151515151516,0.6122448979591837,0.5988182773109243
2,2,boruta_rf,unrestricted_medoid,22,52220,0.818098013957147,0.6697446700617413,0.6265151515151516,0.6122448979591837,0.5988182773109243
2,2,boruta_rf,regret_constrained_medoid,17,52220,0.8264851569998628,0.6795933512094838,0.6022727272727272,0.5816326530612245,0.5791966984422228
2,3,svm_l1,direct,90,52300,0.8318538595047883,0.6842044706118906,0.6992424242424242,0.6836734693877551,0.6913990969522138
2,3,svm_l1,rfecv_only,9,52300,0.801482991982218,0.6452936134231784,0.671969696969697,0.6428571428571429,0.6683457711442786
2,3,svm_l1,highest_locking_score,16,52300,0.8005697604768812,0.6470860259728737,0.6474358974358975,0.6428571428571429,0.6304402463839851
2,3,svm_l1,legacy_top3_medoid,12,52300,0.8221257586582664,0.6750930443647836,0.6863636363636364,0.6632653061224489,0.6826383513931888
2,3,svm_l1,unrestricted_medoid,13,52300,0.7905400907142393,0.6181239698564677,0.6151515151515151,0.5918367346938775,0.5970001675884028
2,3,svm_l1,regret_constrained_medoid,16,52300,0.8005697604768812,0.6470860259728737,0.6474358974358975,0.6428571428571429,0.6304402463839851
