dataset,branch,center,cap,condition,selection_rule,selected_run,selected_feature_count,direct_feature_count,compression_ratio,development_locking_metric,best_saved_run_score,selected_development_score,development_cv_regret,mean_pairwise_jaccard,selected_medoid_mean_jaccard,nogueira_seed_agreement,heldout_metric,heldout_estimate,heldout_direct_estimate,heldout_delta,heldout_source,selection_used_heldout,status,note
AMP-AD,boruta_rf,emory,low,legacy_zero_truncated,fixed_run_1,1.0,14.0,68,0.7941176470588236,macro OvR AUROC,0.8475955399378805,0.8475955399378805,0.0,0.15514550264550261,0.175,-0.0825163398692812,,,,,,False,complete,
AMP-AD,boruta_rf,emory,low,legacy_zero_truncated,legacy_top_three_medoid,3.0,16.0,68,0.7647058823529411,macro OvR AUROC,0.8475955399378805,0.8447479419565547,0.0028475979813258334,0.15514550264550261,0.20684523809523808,-0.0825163398692812,macro OvR AUROC,0.8949009614199431,0.795372060616021,0.09952890080392218,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,emory,low,legacy_zero_truncated,all_run_medoid,3.0,16.0,68,0.7647058823529411,macro OvR AUROC,0.8475955399378805,0.8447479419565547,0.0028475979813258334,0.15514550264550261,0.20684523809523808,-0.0825163398692812,macro OvR AUROC,0.8949009614199431,0.795372060616021,0.09952890080392218,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,emory,low,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,1.0,14.0,68,0.7941176470588236,macro OvR AUROC,0.8475955399378805,0.8475955399378805,0.0,0.15514550264550261,0.175,-0.0825163398692812,,,,,,False,complete,
AMP-AD,boruta_rf,emory,low,legacy_zero_truncated,Direct,,68.0,68,0.0,macro OvR AUROC,0.8475955399378805,,,,,,macro OvR AUROC,0.795372060616021,0.795372060616021,0.0,archived budget_summary.json variant=direct; joined after locking,False,complete,Comparable development locking score was not saved for this comparator.
AMP-AD,boruta_rf,emory,low,legacy_zero_truncated,RFECV-only,,12.0,68,0.8235294117647058,macro OvR AUROC,0.8475955399378805,,,,,,macro OvR AUROC,0.8153695988605393,0.795372060616021,0.01999753824451833,archived budget_summary.json variant=rfecv_only; joined after locking,False,complete,Comparable development locking score was not saved for this comparator.
AMP-AD,boruta_rf,emory,reference,legacy_zero_truncated,highest_development_cv_run,1.0,25.0,68,0.6323529411764706,macro OvR AUROC,0.8584641872733197,0.8584641872733197,0.0,0.33281683939578677,0.3612296507033349,0.06151724137931014,macro OvR AUROC,0.7734532146623389,0.795372060616021,-0.021918845953682098,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,emory,reference,legacy_zero_truncated,fixed_run_1,1.0,25.0,68,0.6323529411764706,macro OvR AUROC,0.8584641872733197,0.8584641872733197,0.0,0.33281683939578677,0.3612296507033349,0.06151724137931014,macro OvR AUROC,0.7734532146623389,0.795372060616021,-0.021918845953682098,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,emory,reference,legacy_zero_truncated,legacy_top_three_medoid,1.0,25.0,68,0.6323529411764706,macro OvR AUROC,0.8584641872733197,0.8584641872733197,0.0,0.33281683939578677,0.3612296507033349,0.06151724137931014,macro OvR AUROC,0.7734532146623389,0.795372060616021,-0.021918845953682098,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,boruta_rf,emory,reference,legacy_zero_truncated,all_run_medoid,5.0,25.0,68,0.6323529411764706,macro OvR AUROC,0.8584641872733197,0.8516546614581927,0.00680952581512706,0.33281683939578677,0.36408730158730157,0.06151724137931014,,,,,,False,complete,
AMP-AD,boruta_rf,emory,reference,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,5.0,25.0,68,0.6323529411764706,macro OvR AUROC,0.8584641872733197,0.8516546614581927,0.00680952581512706,0.33281683939578677,0.36408730158730157,0.06151724137931014,,,,,,False,complete,
AMP-AD,boruta_rf,emory,reference,legacy_zero_truncated,Direct,,68.0,68,0.0,macro OvR AUROC,0.8584641872733197,,,,,,macro OvR AUROC,0.795372060616021,0.795372060616021,0.0,archived budget_summary.json variant=direct; joined after locking,False,complete,Comparable development locking score was not saved for this comparator.
AMP-AD,boruta_rf,emory,reference,legacy_zero_truncated,RFECV-only,,25.0,68,0.6323529411764706,macro OvR AUROC,0.8584641872733197,,,,,,macro OvR AUROC,0.7956223362367668,0.795372060616021,0.0002502756207458656,archived budget_summary.json variant=rfecv_only; joined after locking,False,complete,Comparable development locking score was not saved for this comparator.
AMP-AD,boruta_rf,mayo,high,legacy_zero_truncated,highest_development_cv_run,5.0,45.0,86,0.4767441860465116,macro OvR AUROC,0.8830517487138596,0.8830517487138596,0.0,0.392921603199259,0.42445054945054944,0.015000000000000013,macro OvR AUROC,0.8486839517296811,0.85785344148254,-0.009169489752858806,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
